School Name,State Name [Public School] Latest available year,School Name [Public School] 2023-24,County Name [Public School] 2023-24,Location ZIP [Public School] 2023-24,School Type [Public School] 2023-24,Charter School [Public School] 2023-24,Latitude [Public School] 2023-24,Longitude [Public School] 2023-24,School Level (SY 2017-18 onward) [Public School] 2023-24,Lowest Grade Offered [Public School] 2023-24,Highest Grade Offered [Public School] 2023-24,Total Students All Grades (Excludes AE) [Public School] 2023-24,Free Lunch Eligible [Public School] 2023-24,Direct Certification [Public School] 2023-24,Reduced-price Lunch Eligible Students [Public School] 2023-24,Free and Reduced Lunch Students [Public School] 2023-24,Grades 1-8 Students [Public School] 2023-24,Grades 9-12 Students [Public School] 2023-24,Prekindergarten Students [Public School] 2023-24,Kindergarten Students [Public School] 2023-24,Male Students [Public School] 2023-24,Female Students [Public School] 2023-24,American Indian/Alaska Native Students [Public School] 2023-24,Asian or Asian/Pacific Islander Students [Public School] 2023-24,Hispanic Students [Public School] 2023-24,Black or African American Students [Public School] 2023-24,White Students [Public School] 2023-24,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2023-24,Two or More Races Students [Public School] 2023-24,Total Race/Ethnicity [Public School] 2023-24,Pupil/Teacher Ratio [Public School] 2023-24
ELBERT COUNTY HIGH SCHOOL,Georgia,Elbert County High School,Elbert County,30635,1-Regular school,2-No,34.107900,-82.884600,High,9th Grade,12th Grade,945,597,274,79,676,†,945,†,†,467,478,2,10,122,359,417,0,35,945,16.49
ELBERT COUNTY MIDDLE SCHOOL,Georgia,Elbert County Middle School,Elbert County,30635,1-Regular school,2-No,34.106600,-82.894600,Middle,6th Grade,8th Grade,654,455,246,0,455,654,†,†,†,329,325,0,12,76,237,305,0,24,654,13.63
ELBERT COUNTY PRIMARY SCHOOL,Georgia,Elbert County Primary School,Elbert County,30635,1-Regular school,2-No,34.132032,-82.854711,Elementary,Kindergarten,2nd Grade,663,530,299,0,530,433,†,†,230,330,333,0,9,80,233,303,0,38,663,13.26
ELBERT SHAW REGIONAL YOUTH DETENTION CENTER,Georgia,Elbert Shaw Regional Youth Detention Center,Whitfield County,30721,4-Alternative Education School,2-No,34.789532,-84.928096,High,5th Grade,12th Grade,7,‡,‡,‡,‡,1,6,†,†,6,1,0,0,1,2,3,0,1,7,2.33
ELDRIDGE L. MILLER ELEMENTARY SCHOOL,Georgia,Eldridge L. Miller Elementary School,DeKalb County,30088,1-Regular school,2-No,33.769700,-84.179500,Elementary,Prekindergarten,5th Grade,450,450,221,0,450,336,†,40,74,240,210,2,12,48,368,6,0,14,450,13.85
ELITE SCHOLARS ACADEMY SCHOOL,Georgia,Elite Scholars Academy School,Clayton County,30236,1-Regular school,2-No,33.539748,-84.325726,High,6th Grade,12th Grade,726,268,449,0,268,355,371,†,†,337,389,1,100,115,472,8,2,28,726,18.62
ELIZABETH ANDREWS HIGH SCHOOL,Georgia,Elizabeth Andrews High School,DeKalb County,30083,1-Regular school,2-No,33.832661,-84.194543,High,10th Grade,12th Grade,166,108,29,15,123,†,166,†,†,96,70,0,7,30,122,4,0,3,166,4.37
ELKINS POINTE MIDDLE SCHOOL,Georgia,Elkins Pointe Middle School,Fulton County,30076,1-Regular school,2-No,34.058100,-84.336600,Middle,6th Grade,8th Grade,871,389,115,40,429,871,†,†,†,470,401,0,32,373,113,330,0,23,871,12.37
ELLIJAY ELEMENTARY SCHOOL,Georgia,Ellijay Elementary School,Gilmer County,30540,1-Regular school,2-No,34.696500,-84.478800,Elementary,Prekindergarten,5th Grade,757,568,216,68,636,522,†,138,97,383,374,2,4,329,1,410,0,11,757,13.74
ELLIS ELEMENTARY SCHOOL,Georgia,Ellis Elementary School,Chatham County,31405,1-Regular school,2-No,32.046800,-81.097500,Elementary,Prekindergarten,8th Grade,428,163,63,35,198,337,†,44,47,219,209,0,6,24,153,207,0,38,428,10.70
ELM STREET ELEMENTARY,Georgia,Elm Street Elementary,Floyd County,30165,1-Regular school,2-No,34.266000,-85.206900,Elementary,Prekindergarten,6th Grade,566,523,214,35,558,454,†,25,87,297,269,1,8,377,111,47,0,22,566,12.81
ELM STREET ELEMENTARY SCHOOL,Georgia,Elm Street Elementary School,Coweta County,30263,1-Regular school,2-No,33.383557,-84.807724,Elementary,Prekindergarten,5th Grade,437,200,111,27,227,344,†,27,66,209,228,0,4,56,122,236,0,19,437,13.24
EMANUEL COUNTY INSTITUTE,Georgia,Emanuel County Institute,Emanuel County,30471,1-Regular school,2-No,32.580736,-82.154955,High,6th Grade,12th Grade,563,393,148,0,393,236,327,†,†,295,268,0,5,38,162,341,0,17,563,12.51
EMERSON ELEMENTARY SCHOOL,Georgia,Emerson Elementary School,Bartow County,30137,1-Regular school,2-No,34.122573,-84.761828,Elementary,Prekindergarten,5th Grade,405,282,109,38,320,307,†,33,65,203,202,0,2,93,20,271,0,19,405,11.74
EMILY LEMBECK EARLY LEARNING CENTER,GEORGIA,Emily Lembeck Early Learning Center,Cobb County,30064,1-Regular school,2-No,33.946016,-84.555251,Prekindergarten,Prekindergarten,Prekindergarten,127,51,3,9,60,†,†,127,†,68,59,0,1,39,33,40,0,14,127,13.80
EMMA HUTCHINSON ELEMENTARY SCHOOL,Georgia,Emma Hutchinson Elementary School,Fulton County,30315,1-Regular school,2-No,33.680700,-84.409600,Elementary,Prekindergarten,5th Grade,278,278,131,0,278,215,†,26,37,133,145,5,0,52,215,4,1,1,278,10.53
ENOTA MULTIPLE INTELLIGENCES ACADEMY,Georgia,Enota Multiple Intelligences Academy,Hall County,30501,1-Regular school,2-No,34.323400,-83.823100,Elementary,Prekindergarten,5th Grade,789,361,146,87,448,638,†,38,113,417,372,1,4,299,160,261,0,64,789,14.83
EPHESUS ELEMENTARY SCHOOL,Georgia,Ephesus Elementary School,Heard County,30170,1-Regular school,2-No,33.405528,-85.252890,Elementary,Prekindergarten,5th Grade,176,109,47,15,124,134,†,22,20,86,90,0,0,6,2,159,0,9,176,11.97
ESTHER F. GARRISON SCHOOL FOR THE ARTS,Georgia,Esther F. Garrison School for the Arts,Chatham County,31401,1-Regular school,2-No,32.073900,-81.103000,Elementary,Prekindergarten,8th Grade,776,325,103,74,399,692,†,22,62,270,506,1,31,78,379,218,2,67,776,11.48
ETHEL W. KIGHT ELEMENTARY SCHOOL,Georgia,Ethel W. Kight Elementary School,Troup County,30240,1-Regular school,2-No,33.027186,-85.061864,Elementary,Prekindergarten,5th Grade,603,603,314,0,603,448,†,49,106,295,308,4,0,152,356,53,0,38,603,11.96
ETHOS CLASSICAL CHARTER SCHOOL,GEORGIA,Ethos Classical Charter School,Fulton County,30315,1-Regular school,1-Yes,33.691871,-84.416305,Elementary,Kindergarten,5th Grade,535,535,221,0,535,431,†,†,104,271,264,0,0,11,507,6,0,11,535,17.83
ETON ELEMENTARY SCHOOL,Georgia,Eton Elementary School,Murray County,30705,1-Regular school,2-No,34.827683,-84.777448,Elementary,Prekindergarten,6th Grade,545,406,160,49,455,439,†,47,59,257,288,1,5,132,5,387,0,15,545,14.42
ETOWAH HIGH SCHOOL,Georgia,Etowah High School,Cherokee County,30189,1-Regular school,2-No,34.116200,-84.564100,High,9th Grade,12th Grade,2449,702,431,180,882,†,2449,†,†,1282,1167,2,65,615,293,1346,1,127,2449,16.11
EUCHEE CREEK ELEMENTARY SCHOOL,Georgia,Euchee Creek Elementary School,Columbia County,30813,1-Regular school,2-No,33.476600,-82.267800,Elementary,Prekindergarten,5th Grade,702,275,86,50,325,554,†,54,94,394,308,0,10,105,211,324,2,50,702,14.01
EUHARLEE ELEMENTARY SCHOOL,Georgia,Euharlee Elementary School,Bartow County,30145,1-Regular school,2-No,34.146700,-84.929100,Elementary,Prekindergarten,5th Grade,543,308,107,54,362,411,†,55,77,261,282,2,1,56,26,436,0,22,543,14.48
EVANS ELEMENTARY SCHOOL,Georgia,Evans Elementary School,Columbia County,30809,1-Regular school,2-No,33.540797,-82.155687,Elementary,Prekindergarten,5th Grade,823,268,109,79,347,704,†,11,108,411,412,1,36,96,174,430,1,85,823,14.94
EVANS HIGH SCHOOL,Georgia,Evans High School,Columbia County,30809,1-Regular school,2-No,33.524700,-82.147300,High,9th Grade,12th Grade,1875,617,205,154,771,†,1875,†,†,936,939,7,67,224,426,1011,6,134,1875,18.49
EVANS MIDDLE SCHOOL,Georgia,Evans Middle School,Coweta County,30263,1-Regular school,2-No,33.390100,-84.819214,Middle,6th Grade,8th Grade,798,437,239,44,481,798,†,†,†,393,405,4,6,105,223,413,0,47,798,14.00
EVANS MIDDLE SCHOOL,Georgia,Evans Middle School,Columbia County,30809,1-Regular school,2-No,33.532094,-82.159580,Middle,6th Grade,8th Grade,940,335,107,93,428,940,†,†,†,490,450,3,43,101,208,514,1,70,940,14.99
EVANSDALE ELEMENTARY SCHOOL,Georgia,Evansdale Elementary School,DeKalb County,30340,1-Regular school,2-No,33.873600,-84.240300,Elementary,Prekindergarten,5th Grade,522,299,102,17,316,410,†,22,90,263,259,6,15,263,84,116,0,38,522,12.79
EXCEL ACADEMY,GEORGIA,EXCEL Academy,Henry County,30253,1-Regular school,2-No,33.451091,-84.136143,High,6th Grade,12th Grade,223,150,87,18,168,53,170,†,†,133,90,0,1,22,176,14,0,10,223,12.32
F. L. STANTON ELEMENTARY SCHOOL,Georgia,F. L. Stanton Elementary School,Fulton County,30314,1-Regular school,2-No,33.753700,-84.442600,Elementary,Prekindergarten,5th Grade,174,174,102,0,174,150,†,1,23,99,75,0,0,2,171,0,0,1,174,9.56
FACTORY SHOALS ELEMENTARY SCHOOL,Georgia,Factory Shoals Elementary School,Douglas County,30122,1-Regular school,2-No,33.742100,-84.650200,Elementary,Prekindergarten,5th Grade,599,490,266,62,552,494,†,14,91,328,271,2,3,126,396,44,0,28,599,14.09
FACTORY SHOALS MIDDLE SCHOOL,Georgia,Factory Shoals Middle School,Douglas County,30135,1-Regular school,2-No,33.723580,-84.650260,Middle,6th Grade,8th Grade,827,560,252,77,637,827,†,†,†,432,395,2,8,119,643,25,0,30,827,16.51
FAIR OAKS ELEMENTARY SCHOOL,Georgia,Fair Oaks Elementary School,Cobb County,30060,1-Regular school,2-No,33.917700,-84.546900,Elementary,Prekindergarten,5th Grade,724,639,216,69,708,593,†,18,113,368,356,1,4,622,72,17,0,8,724,9.84
FAIR STREET INTERNATIONAL ACADEMY,Georgia,Fair Street International Academy,Hall County,30501,1-Regular school,2-No,34.300200,-83.814100,Elementary,Prekindergarten,5th Grade,574,469,166,54,523,430,†,39,105,312,262,0,1,453,83,25,0,12,574,13.93
FAIRINGTON ELEMENTARY SCHOOL,Georgia,Fairington Elementary School,DeKalb County,30038,1-Regular school,2-No,33.695700,-84.164700,Elementary,Prekindergarten,5th Grade,481,481,280,0,481,393,†,21,67,250,231,0,1,26,434,0,0,20,481,15.08
FAIRMOUNT ELEMENTARY SCHOOL,Georgia,Fairmount Elementary School,Gordon County,30139,1-Regular school,2-No,34.439800,-84.697300,Elementary,Prekindergarten,5th Grade,370,287,108,36,323,283,†,47,40,194,176,0,11,10,6,337,0,6,370,12.76
FAIRPLAY MIDDLE SCHOOL,Georgia,Fairplay Middle School,Douglas County,30135,1-Regular school,2-No,33.618100,-84.848300,Middle,6th Grade,8th Grade,506,208,73,43,251,506,†,†,†,252,254,0,6,68,137,269,0,26,506,16.48
FAIRVIEW ELEMENTARY,Georgia,Fairview Elementary,Newton County,30016,1-Regular school,2-No,33.611444,-83.937914,Elementary,Prekindergarten,5th Grade,597,538,194,0,538,470,†,55,72,312,285,0,8,109,375,78,1,26,597,16.72
FAIRVIEW ELEMENTARY SCHOOL,Georgia,Fairview Elementary School,Habersham County,30535,1-Regular school,2-No,34.568900,-83.580900,Elementary,Prekindergarten,5th Grade,461,279,124,38,317,378,†,26,57,240,221,0,0,59,6,372,0,24,461,10.62
FAIRVIEW ELEMENTARY SCHOOL,Georgia,Fairview Elementary School,Henry County,30281,1-Regular school,2-No,33.609300,-84.228600,Elementary,Prekindergarten,5th Grade,575,446,221,34,480,469,†,31,75,303,272,0,3,92,419,21,0,40,575,16.86
FAIRYLAND ELEMENTARY SCHOOL,Georgia,Fairyland Elementary School,Walker County,30750,1-Regular school,2-No,34.974900,-85.359200,Elementary,Prekindergarten,5th Grade,293,74,15,19,93,211,†,36,46,159,134,0,1,13,2,267,0,10,293,12.21
FANNIN COUNTY HIGH SCHOOL,Georgia,Fannin County High School,Fannin County,30513,1-Regular school,2-No,34.852834,-84.328919,High,9th Grade,12th Grade,886,473,146,58,531,†,886,†,†,469,417,1,6,62,7,799,1,10,886,14.69
FANNIN COUNTY MIDDLE SCHOOL,Georgia,Fannin County Middle School,Fannin County,30513,1-Regular school,2-No,34.870600,-84.302200,Middle,6th Grade,8th Grade,623,359,105,57,416,623,†,†,†,336,287,0,9,39,3,562,0,10,623,12.22
FAYETTE COUNTY HIGH SCHOOL,Georgia,Fayette County High School,Fayette County,30214,1-Regular school,2-No,33.454637,-84.461446,High,9th Grade,12th Grade,1359,642,229,112,754,†,1359,†,†,677,682,3,69,202,866,142,0,77,1359,14.71
FAYETTEVILLE ELEMENTARY SCHOOL,Georgia,Fayetteville Elementary School,Fayette County,30214,1-Regular school,2-No,33.455900,-84.464700,Elementary,Prekindergarten,5th Grade,492,312,125,33,345,404,†,22,66,268,224,1,21,69,293,69,0,39,492,13.86
FEAGIN MILL MIDDLE SCHOOL,Georgia,Feagin Mill Middle School,Houston County,31088,1-Regular school,2-No,32.569800,-83.675800,Middle,6th Grade,8th Grade,943,390,154,103,493,943,†,†,†,505,438,2,85,74,342,363,1,76,943,14.10
FELDWOOD ELEMENTARY SCHOOL,Georgia,Feldwood Elementary School,Fulton County,30349,1-Regular school,2-No,33.598000,-84.514100,Elementary,Prekindergarten,5th Grade,675,675,328,0,675,546,†,47,82,347,328,3,0,22,625,6,0,19,675,15.07
FERGUSON ELEMENTARY SCHOOL,Georgia,Ferguson Elementary School,Gwinnett County,30096,1-Regular school,2-No,33.950825,-84.121763,Elementary,Prekindergarten,5th Grade,838,646,228,65,711,697,†,27,114,400,438,2,40,497,248,28,1,22,838,11.37
FERNBANK ELEMENTARY SCHOOL,Georgia,Fernbank Elementary School,DeKalb County,30307,1-Regular school,2-No,33.778387,-84.316293,Elementary,Prekindergarten,5th Grade,768,175,42,19,194,581,†,66,121,359,409,6,110,55,161,380,0,56,768,14.77
FIFTH AVENUE UPPER ELEMENTARY SCHOOL,Georgia,Fifth Avenue Upper Elementary School,DeKalb County,30030,1-Regular school,2-No,33.755432,-84.305514,Elementary,3rd Grade,5th Grade,593,56,52,0,56,593,†,†,†,311,282,0,25,22,77,421,0,48,593,11.81
FINCH ELEMENTARY,Georgia,Finch Elementary,Fulton County,30310,1-Regular school,2-No,33.721900,-84.424400,Elementary,Prekindergarten,5th Grade,319,319,167,0,319,253,†,26,40,173,146,1,0,7,304,1,0,6,319,8.33
FINDLEY OAKS ELEMENTARY SCHOOL,Georgia,Findley Oaks Elementary School,Fulton County,30097,1-Regular school,2-No,34.060800,-84.186300,Elementary,Prekindergarten,5th Grade,590,76,23,17,93,467,†,48,75,322,268,3,204,77,63,186,0,57,590,12.91
FITZGERALD HIGH SCHOOL SCHOOL COLLEGE AND CAREER ACADEMY,Georgia,Fitzgerald High School School College and Career Academy,Ben Hill County,31750,1-Regular school,2-No,31.672387,-83.243082,High,9th Grade,12th Grade,874,537,286,0,537,†,874,†,†,457,417,2,6,134,353,352,0,27,874,14.33
FIVE FORKS MIDDLE SCHOOL,Georgia,Five Forks Middle School,Gwinnett County,30044,1-Regular school,2-No,33.884200,-84.069300,Middle,6th Grade,8th Grade,1257,551,166,90,641,1257,†,†,†,634,623,2,235,253,371,309,0,87,1257,16.09
FLAT ROCK ELEMENTARY SCHOOL,Georgia,Flat Rock Elementary School,DeKalb County,30038,1-Regular school,2-No,33.658800,-84.159700,Elementary,Prekindergarten,5th Grade,986,986,468,0,986,789,†,65,132,508,478,5,3,77,871,7,0,23,986,15.95
FLAT ROCK MIDDLE SCHOOL,Georgia,Flat Rock Middle School,Fayette County,30290,1-Regular school,2-No,33.496100,-84.569400,Middle,6th Grade,8th Grade,842,376,141,83,459,842,†,†,†,424,418,3,33,151,476,128,0,51,842,13.05
FLAT SHOALS ELEMENTARY SCHOOL,Georgia,Flat Shoals Elementary School,DeKalb County,30034,1-Regular school,2-No,33.706300,-84.283700,Elementary,Prekindergarten,5th Grade,469,469,258,0,469,382,†,30,57,241,228,2,1,13,441,1,0,11,469,14.43
FLAT SHOALS ELEMENTARY SCHOOL,Georgia,Flat Shoals Elementary School,Rockdale County,30013,1-Regular school,2-No,33.632600,-83.991800,Elementary,Prekindergarten,5th Grade,616,445,209,55,500,506,†,28,82,325,291,1,7,77,468,23,4,36,616,11.00
FLINT HILL ELEMENTARY,Georgia,Flint Hill Elementary,Newton County,30054,1-Regular school,2-No,33.650100,-83.843500,Elementary,Prekindergarten,5th Grade,850,832,294,0,832,681,†,67,102,454,396,0,13,102,467,218,0,50,850,13.60
FLIPPEN ELEMENTARY SCHOOL,Georgia,Flippen Elementary School,Henry County,30253,1-Regular school,2-No,33.494200,-84.199900,Elementary,Prekindergarten,5th Grade,585,377,191,51,428,494,†,11,80,326,259,1,16,87,384,65,0,32,585,14.89
FLOWERY BRANCH ELEMENTARY SCHOOL,Georgia,Flowery Branch Elementary School,Hall County,30542,1-Regular school,2-No,34.201000,-83.927800,Elementary,Prekindergarten,5th Grade,692,395,140,63,458,572,†,10,110,344,348,1,21,237,85,309,0,39,692,15.84
FLOWERY BRANCH HIGH,Georgia,Flowery Branch High,Hall County,30542,1-Regular school,2-No,34.185834,-83.902095,High,9th Grade,12th Grade,1350,484,145,118,602,†,1350,†,†,682,668,2,48,408,88,748,1,55,1350,16.36
FLOYD L. SHELTON ELEMENTARY SCHOOL AT CROSSROAD,Georgia,Floyd L. Shelton Elementary School at Crossroad,Paulding County,30132,1-Regular school,2-No,34.024700,-84.776100,Elementary,Prekindergarten,5th Grade,1418,346,83,71,417,1202,†,21,195,703,715,10,78,149,297,792,1,91,1418,15.25
FLOYD MIDDLE SCHOOL,Georgia,Floyd Middle School,Cobb County,30126,1-Regular school,2-No,33.838200,-84.574900,Middle,6th Grade,8th Grade,846,662,236,77,739,846,†,†,†,430,416,1,8,454,306,49,0,28,846,13.82
FOLKSTON ELEMENTARY SCHOOL,Georgia,Folkston Elementary School,Charlton County,31537,1-Regular school,2-No,30.816828,-82.014062,Elementary,Prekindergarten,4th Grade,559,362,187,60,422,388,†,67,104,287,272,5,3,16,176,306,0,53,559,14.05
FOOTHILLS REGIONAL HIGH SCHOOL,GEORGIA,Foothills Regional High School,Clarke County,30607,1-Regular school,2-No,33.972673,-83.415084,High,9th Grade,12th Grade,2157,1375,6,307,1682,†,2157,†,†,1075,1082,3,17,282,794,933,1,127,2157,73.62
FORD ELEMENTARY SCHOOL,Georgia,Ford Elementary School,Cobb County,30101,1-Regular school,2-No,33.986900,-84.719900,Elementary,Prekindergarten,5th Grade,747,106,16,17,123,618,†,20,109,377,370,1,37,55,112,494,0,48,747,13.32
FOREST PARK HIGH SCHOOL,Georgia,Forest Park High School,Clayton County,30297,1-Regular school,2-No,33.605500,-84.354200,High,9th Grade,12th Grade,1684,1284,785,0,1284,†,1684,†,†,845,839,6,85,879,636,41,0,37,1684,17.54
FOREST PARK MIDDLE SCHOOL,Georgia,Forest Park Middle School,Clayton County,30260,1-Regular school,2-No,33.593180,-84.314646,Middle,6th Grade,8th Grade,626,626,205,0,626,626,†,†,†,335,291,0,6,280,305,18,0,17,626,13.91
FORREST ROAD ELEMENTARY SCHOOL,Georgia,Forrest Road Elementary School,Muscogee County,31907,1-Regular school,2-No,32.487656,-84.881878,Elementary,Prekindergarten,5th Grade,355,355,158,0,355,252,†,58,45,191,164,0,1,23,292,17,0,22,355,16.75
FORSYTH CENTRAL HIGH SCHOOL,Georgia,Forsyth Central High School,Forsyth County,30040,1-Regular school,2-No,34.216006,-84.139851,High,9th Grade,12th Grade,2387,819,244,157,976,†,2387,†,†,1236,1151,16,232,759,134,1167,3,76,2387,15.78
FORT DANIEL ELEMENTARY SCHOOL,Georgia,Fort Daniel Elementary School,Gwinnett County,30019,1-Regular school,2-No,34.044600,-83.924000,Elementary,Prekindergarten,5th Grade,697,308,100,50,358,569,†,31,97,370,327,0,103,169,163,201,0,61,697,11.87
FORT MIDDLE SCHOOL,Georgia,Fort Middle School,Muscogee County,31907,1-Regular school,2-No,32.488100,-84.897900,Middle,6th Grade,8th Grade,484,482,239,0,482,484,†,†,†,253,231,0,0,33,400,26,0,25,484,17.16
FORT VALLEY MIDDLE SCHOOL,Georgia,Fort Valley Middle School,Peach County,31030,1-Regular school,2-No,32.569152,-83.914816,Middle,6th Grade,8th Grade,466,466,238,0,466,466,†,†,†,247,219,1,2,98,311,39,1,14,466,13.05
FOUNTAIN ELEMENTARY SCHOOL,Georgia,Fountain Elementary School,Clayton County,30297,1-Regular school,2-No,33.611900,-84.373700,Elementary,Prekindergarten,5th Grade,496,496,163,0,496,384,†,51,61,248,248,1,7,218,252,4,0,14,496,10.78
FOURTH DISTRICT ELEMENTARY SCHOOL,Georgia,Fourth District Elementary School,Appling County,31563,1-Regular school,2-No,31.598800,-82.235200,Elementary,Prekindergarten,5th Grade,129,73,35,0,73,84,†,20,25,71,58,0,0,19,5,98,0,7,129,11.03
FOWLER DRIVE ELEMENTARY SCHOOL,Georgia,Fowler Drive Elementary School,Clarke County,30601,1-Regular school,2-No,33.989700,-83.362800,Elementary,Prekindergarten,5th Grade,392,385,149,0,385,286,†,47,59,209,183,1,0,181,167,30,0,13,392,8.87
FOX ELEMENTARY SCHOOL,Georgia,Fox Elementary School,Muscogee County,31904,1-Regular school,2-No,32.497700,-84.984600,Elementary,Prekindergarten,5th Grade,350,350,234,0,350,235,†,54,61,197,153,2,0,19,266,29,0,34,350,14.58
FRANCES MEEKS ELEMENTARY SCHOOL,GEORGIA,Frances Meeks Elementary School,Bryan County,31324,1-Regular school,2-No,31.849168,-81.307634,Elementary,Prekindergarten,5th Grade,864,113,16,44,157,699,†,48,117,430,434,0,25,100,60,617,0,62,864,14.38
FRANK LONG ELEMENTARY SCHOOL,Georgia,Frank Long Elementary School,Liberty County,31313,1-Regular school,2-No,31.812900,-81.596200,Elementary,Kindergarten,5th Grade,708,494,285,77,571,593,†,†,115,379,329,0,1,80,430,113,2,82,708,14.45
FRANKLIN COUNTY HIGH SCHOOL,Georgia,Franklin County High School,Franklin County,30521,1-Regular school,2-No,34.363600,-83.212200,High,9th Grade,12th Grade,1007,464,258,81,545,†,1007,†,†,512,495,7,22,114,104,716,0,44,1007,15.07
FRANKLIN COUNTY MIDDLE SCHOOL,Georgia,Franklin County Middle School,Franklin County,30521,1-Regular school,2-No,34.394886,-83.194216,Middle,6th Grade,8th Grade,828,440,260,78,518,828,†,†,†,399,429,2,18,92,101,567,0,48,828,14.11
FRANKLIN FOREST ELEMENTARY,Georgia,Franklin Forest Elementary,Troup County,30240,1-Regular school,2-No,33.073523,-85.035343,Elementary,Prekindergarten,5th Grade,664,664,363,0,664,493,†,68,103,351,313,1,9,102,368,138,0,46,664,11.86
FRED A. TOOMER ELEMENTARY SCHOOL,Georgia,Fred A. Toomer Elementary School,DeKalb County,30317,1-Regular school,2-No,33.754800,-84.327800,Elementary,Prekindergarten,5th Grade,501,278,197,17,295,348,†,71,82,242,259,0,1,23,329,131,0,17,501,13.12
FREDERICK DOUGLASS HIGH SCHOOL,Georgia,Frederick Douglass High School,Fulton County,30318,1-Regular school,2-No,33.761200,-84.468100,High,9th Grade,12th Grade,1194,1194,503,0,1194,†,1194,†,†,615,579,6,3,83,1085,2,0,15,1194,13.33
FREE HOME ELEMENTARY SCHOOL,Georgia,Free Home Elementary School,Cherokee County,30115,1-Regular school,2-No,34.239200,-84.289700,Elementary,Prekindergarten,5th Grade,299,81,54,16,97,250,†,7,42,170,129,0,1,36,5,251,0,6,299,12.20
FREEDOM MIDDLE SCHOOL,Georgia,Freedom Middle School,DeKalb County,30088,1-Regular school,2-No,33.781900,-84.196600,Middle,6th Grade,8th Grade,1224,1224,571,0,1224,1224,†,†,†,604,620,9,390,87,629,89,3,17,1224,15.49
FREEDOM MIDDLE SCHOOL,Georgia,Freedom Middle School,Cherokee County,30114,1-Regular school,2-No,34.193200,-84.533400,Middle,6th Grade,8th Grade,904,208,155,49,257,904,†,†,†,465,439,0,22,124,84,620,0,54,904,16.44
FREEDOM PARK ELEMENTARY,Georgia,Freedom Park Elementary,Richmond County,30905,1-Regular school,2-No,33.405586,-82.127267,Elementary,Prekindergarten,8th Grade,559,143,31,152,295,457,†,43,59,287,272,2,14,114,171,186,7,65,559,10.45
